codigo_municipio,municipio,grupo,variable,mes,de-1-ano_masculino,de-1-ano-1_femenino,1-a-4-anos_masculino,1-a-4-anos-1_femenino,5-a-9-anos_masculino,5-a-9-anos-1_femenino,10-a-20-anos_masculino,10-a-20-anos-1_femenino,21-a-59-anos_masculino,21-a-59-anos-1_femenino,60-y-mas_masculino,60-y-mas-1_femenino,totales_total-m,totales-1_total-f,totales-2_total
20103,MECAPACA,"violencia, hechos de transito y accidentes",accidentes,2012-12-01,0,0,0,1,0,2,4,2,6,3,0,5,10,13,23
71003,MINEROS,"violencia, hechos de transito y accidentes",accidentes,2012-12-01,0,2,2,1,3,2,7,1,32,13,1,3,45,22,67
31301,MIZQUE,"violencia, hechos de transito y accidentes",accidentes,2012-12-01,0,0,0,0,0,0,2,0,0,0,0,0,2,0,2
10501,MONTEAGUDO,"violencia, hechos de transito y accidentes",accidentes,2012-12-01,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
71001,MONTERO,"violencia, hechos de transito y accidentes",accidentes,2012-12-01,2,2,14,8,17,6,20,6,31,8,4,3,88,33,121
30302,MOROCHATA,"violencia, hechos de transito y accidentes",accidentes,2012-12-01,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
40101,ORURO,"violencia, hechos de transito y accidentes",accidentes,2012-12-01,5,4,11,13,25,14,21,17,40,19,8,1,110,68,178
70502,PAILON,"violencia, hechos de transito y accidentes",accidentes,2012-12-01,0,0,0,1,0,0,2,2,0,3,0,1,2,7,9
20102,PALCA,"violencia, hechos de transito y accidentes",accidentes,2012-12-01,0,0,0,0,1,0,5,0,2,4,2,0,10,4,14
21305,PATACAMAYA,"violencia, hechos de transito y accidentes",accidentes,2012-12-01,0,0,9,3,1,1,7,5,23,13,10,6,50,28,78
31202,POJO (CBBA),"violencia, hechos de transito y accidentes",accidentes,2012-12-01,0,0,3,0,1,0,2,1,7,3,2,2,15,6,21
40601,POOPO,"violencia, hechos de transito y accidentes",accidentes,2012-12-01,0,0,0,0,0,0,0,0,1,0,1,0,2,0,2
50101,POTOSI,"violencia, hechos de transito y accidentes",accidentes,2012-12-01,1,0,4,2,4,1,19,2,54,14,2,1,84,20,104
21201,PUCARANI,"violencia, hechos de transito y accidentes",accidentes,2012-12-01,0,0,2,0,0,0,2,0,2,0,0,0,6,0,6
21204,PUERTO PEREZ,"violencia, hechos de transito y accidentes",accidentes,2012-12-01,0,0,0,0,0,0,1,1,0,0,4,1,5,2,7
71401,PUERTO SUAREZ,"violencia, hechos de transito y accidentes",accidentes,2012-12-01,0,0,0,0,0,0,2,0,3,2,0,1,5,3,8
31205,PUERTO VILLARROEL,"violencia, hechos de transito y accidentes",accidentes,2012-12-01,1,2,12,13,6,15,22,22,33,12,0,2,74,66,140
51101,PUNA,"violencia, hechos de transito y accidentes",accidentes,2012-12-01,0,0,0,0,1,0,0,0,2,0,0,0,3,0,3
31401,PUNATA,"violencia, hechos de transito y accidentes",accidentes,2012-12-01,1,3,9,6,3,5,14,4,47,23,8,9,82,50,132
21002,QUIME,"violencia, hechos de transito y accidentes",accidentes,2012-12-01,0,0,0,2,1,1,6,1,11,6,1,2,19,12,31
80301,REYES,"violencia, hechos de transito y accidentes",accidentes,2012-12-01,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
80201,RIBERALTA,"violencia, hechos de transito y accidentes",accidentes,2012-12-01,3,2,7,7,9,5,6,4,6,4,0,1,31,23,54
70503,ROBORE,"violencia, hechos de transito y accidentes",accidentes,2012-12-01,0,0,0,0,0,0,2,0,0,0,0,0,2,0,2
80304,RURRENABAQUE,"violencia, hechos de transito y accidentes",accidentes,2012-12-01,0,0,0,1,0,0,0,0,1,0,0,0,1,1,2
31001,SACABA,"violencia, hechos de transito y accidentes",accidentes,2012-12-01,3,0,27,10,21,6,55,19,97,62,15,11,218,108,326
30404,SACABAMBA,"violencia, hechos de transito y accidentes",accidentes,2012-12-01,0,0,0,0,0,0,2,0,0,1,1,0,3,1,4
40801,SALINAS DE GARCI MENDOZA,"violencia, hechos de transito y accidentes",accidentes,2012-12-01,0,0,0,0,0,0,2,0,1,0,0,0,3,0,3
70901,SAMAIPATA,"violencia, hechos de transito y accidentes",accidentes,2012-12-01,0,0,0,0,0,0,2,0,3,4,0,0,5,4,9
20805,SAN ANDRES DE MACHACA,"violencia, hechos de transito y accidentes",accidentes,2012-12-01,0,0,1,1,0,1,0,0,3,5,2,5,6,12,18
31403,SAN BENITO,"violencia, hechos de transito y accidentes",accidentes,2012-12-01,3,0,0,0,0,0,7,1,12,5,4,7,26,13,39
21502,SAN BUENA VENTURA,"violencia, hechos de transito y accidentes",accidentes,2012-12-01,0,0,1,1,0,1,1,3,5,4,0,1,7,10,17
70402,SAN CARLOS,"violencia, hechos de transito y accidentes",accidentes,2012-12-01,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3
80501,SAN IGNACIO,"violencia, hechos de transito y accidentes",accidentes,2012-12-01,0,0,1,0,2,0,0,0,5,2,1,0,9,2,11
70301,SAN IGNACIO DE VELASCO,"violencia, hechos de transito y accidentes",accidentes,2012-12-01,1,0,5,6,1,3,6,1,15,6,4,4,32,20,52
71104,SAN JULIAN,"violencia, hechos de transito y accidentes",accidentes,2012-12-01,1,2,1,1,2,6,7,1,15,7,2,2,28,19,47
10702,SAN LUCAS,"violencia, hechos de transito y accidentes",accidentes,2012-12-01,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2
70302,SAN MIGUEL DE VELASCO,"violencia, hechos de transito y accidentes",accidentes,2012-12-01,0,0,0,1,1,0,2,0,4,2,4,1,11,4,15
71005,SAN PEDRO,"violencia, hechos de transito y accidentes",accidentes,2012-12-01,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
70303,SAN RAFAEL,"violencia, hechos de transito y accidentes",accidentes,2012-12-01,0,1,2,1,1,1,2,0,5,0,0,0,10,3,13
70101,SANTA CRUZ DE LA SIERRA,"violencia, hechos de transito y accidentes",accidentes,2012-12-01,4,5,21,7,13,20,86,27,198,103,26,28,348,190,538
70602,SANTA ROSA DEL SARA,"violencia, hechos de transito y accidentes",accidentes,2012-12-01,0,1,2,0,0,0,2,1,2,0,0,0,6,2,8
20308,SANTIAGO DE CALLAPA,"violencia, hechos de transito y accidentes",accidentes,2012-12-01,0,0,0,0,0,0,0,0,0,0,3,2,3,2,5
40202,SANTUARIO DE QUILLACAS,"violencia, hechos de transito y accidentes",accidentes,2012-12-01,0,0,0,0,0,0,0,0,4,0,0,2,4,2,6
40104,SORACACHI,"violencia, hechos de transito y accidentes",accidentes,2012-12-01,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
20601,SORATA,"violencia, hechos de transito y accidentes",accidentes,2012-12-01,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
10101,SUCRE,"violencia, hechos de transito y accidentes",accidentes,2012-12-01,6,6,47,37,16,26,25,23,95,41,9,20,198,153,351
10601,TARABUCO,"violencia, hechos de transito y accidentes",accidentes,2012-12-01,0,0,1,0,1,6,1,0,7,7,2,3,12,16,28
20807,TARACO,"violencia, hechos de transito y accidentes",accidentes,2012-12-01,0,0,0,0,1,0,0,2,1,2,5,1,7,5,12
60101,TARIJA,"violencia, hechos de transito y accidentes",accidentes,2012-12-01,0,1,5,7,8,1,9,2,21,6,4,4,47,21,68
20606,TIPUANI,"violencia, hechos de transito y accidentes",accidentes,2012-12-01,0,0,1,0,1,0,3,1,9,4,0,0,14,5,19
31601,TIRAQUE (CBBA),"violencia, hechos de transito y accidentes",accidentes,2012-12-01,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
41001,TOLEDO,"violencia, hechos de transito y accidentes",accidentes,2012-12-01,0,0,0,2,2,0,1,0,0,3,2,2,5,7,12
30502,VACAS,"violencia, hechos de transito y accidentes",accidentes,2012-12-01,0,0,0,0,0,0,1,0,1,0,2,0,4,0,4
20801,VIACHA,"violencia, hechos de transito y accidentes",accidentes,2012-12-01,0,0,0,0,0,0,0,0,0,1,1,0,1,1,2
31003,VILLA TUNARI,"violencia, hechos de transito y accidentes",accidentes,2012-12-01,1,1,3,3,1,0,7,5,14,4,0,3,26,16,42
11001,VILLA VACA GUZMAN (MUYUPAMPA),"violencia, hechos de transito y accidentes",accidentes,2012-12-01,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
51501,VILLAZON,"violencia, hechos de transito y accidentes",accidentes,2012-12-01,0,0,2,0,0,0,0,0,3,0,0,0,5,0,5
50602,VITICHI,"violencia, hechos de transito y accidentes",accidentes,2012-12-01,0,0,0,1,0,0,1,2,1,0,0,0,2,3,5
60301,YACUIBA,"violencia, hechos de transito y accidentes",accidentes,2012-12-01,0,2,2,0,1,0,4,3,12,3,1,0,20,8,28
70403,YAPACANI,"violencia, hechos de transito y accidentes",accidentes,2012-12-01,1,0,3,0,2,0,10,4,10,6,0,0,26,10,36
60402,YUNCHARA,"violencia, hechos de transito y accidentes",accidentes,2012-12-01,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
20201,ACHACACHI,"violencia, hechos de transito y accidentes",accidentes,2013-01-01,0,0,0,0,0,0,1,1,3,0,1,4,5,5,10
20104,ACHOCALLA,"violencia, hechos de transito y accidentes",accidentes,2013-01-01,0,0,0,0,0,0,0,0,2,1,0,0,2,1,3
30201,AIQUILE,"violencia, hechos de transito y accidentes",accidentes,2013-01-01,0,0,0,0,1,0,0,0,1,1,1,0,3,1,4
31303,ALALAY,"violencia, hechos de transito y accidentes",accidentes,2013-01-01,0,0,0,0,1,0,0,0,2,0,0,0,3,0,3
10404,ALCALA,"violencia, hechos de transito y accidentes",accidentes,2013-01-01,0,1,0,0,0,0,1,1,2,1,1,1,4,4,8
20202,ANCORAIMES,"violencia, hechos de transito y accidentes",accidentes,2013-01-01,3,2,13,10,2,1,3,1,7,4,4,5,32,23,55
71501,ASCENCION DE GUARAYOS,"violencia, hechos de transito y accidentes",accidentes,2013-01-01,0,0,4,2,2,1,6,2,5,0,0,0,17,5,22
50802,ATOCHA,"violencia, hechos de transito y accidentes",accidentes,2013-01-01,0,0,0,0,1,0,0,0,4,0,0,0,5,0,5
21303,AYO AYO,"violencia, hechos de transito y accidentes",accidentes,2013-01-01,2,0,5,0,1,0,1,0,6,8,0,4,15,12,27
30301,AYOPAYA (V. DE INDEPENDENCIA),"violencia, hechos de transito y accidentes",accidentes,2013-01-01,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
60202,BERMEJO,"violencia, hechos de transito y accidentes",accidentes,2013-01-01,0,0,0,0,0,0,3,4,10,4,1,0,14,8,22
70707,BOYUIBE,"violencia, hechos de transito y accidentes",accidentes,2013-01-01,0,0,0,0,0,0,0,0,2,0,0,0,2,0,2
70401,BUENA VISTA,"violencia, hechos de transito y accidentes",accidentes,2013-01-01,0,0,1,0,1,0,3,1,4,0,1,0,10,1,11
21304,CALAMARCA,"violencia, hechos de transito y accidentes",accidentes,2013-01-01,0,1,8,7,2,0,4,1,7,2,4,1,25,12,37
70706,CAMIRI,"violencia, hechos de transito y accidentes",accidentes,2013-01-01,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
22001,CARANAVI,"violencia, hechos de transito y accidentes",accidentes,2013-01-01,1,0,0,1,0,0,2,0,3,1,3,0,9,2,11
60302,CARAPARI,"violencia, hechos de transito y accidentes",accidentes,2013-01-01,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
71403,CARMEN RIVERO TORREZ,"violencia, hechos de transito y accidentes",accidentes,2013-01-01,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
40201,CHALLAPATA,"violencia, hechos de transito y accidentes",accidentes,2013-01-01,1,0,0,1,0,0,0,1,0,0,0,0,1,2,3
31204,CHIMORE,"violencia, hechos de transito y accidentes",accidentes,2013-01-01,0,0,1,3,1,0,3,3,11,1,1,0,17,7,24
90101,COBIJA,"violencia, hechos de transito y accidentes",accidentes,2013-01-01,1,0,9,5,7,3,19,10,42,19,8,3,86,40,126
30101,COCHABAMBA,"violencia, hechos de transito y accidentes",accidentes,2013-01-01,5,3,11,6,9,7,21,22,69,30,7,6,122,74,196
30905,COLCAPIRHUA,"violencia, hechos de transito y accidentes",accidentes,2013-01-01,0,0,0,0,1,0,0,1,1,0,0,0,2,1,3
31002,COLOMI,"violencia, hechos de transito y accidentes",accidentes,2013-01-01,0,0,1,1,2,1,2,0,3,1,0,2,8,5,13
70603,COLPA BELGICA,"violencia, hechos de transito y accidentes",accidentes,2013-01-01,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
71301,COMARAPA,"violencia, hechos de transito y accidentes",accidentes,2013-01-01,0,0,0,0,2,1,4,0,8,2,1,0,15,3,18
71101,CONCEPCION,"violencia, hechos de transito y accidentes",accidentes,2013-01-01,0,0,1,0,2,1,2,1,1,0,1,0,7,2,9
21402,CORIPATA,"violencia, hechos de transito y accidentes",accidentes,2013-01-01,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
70102,COTOCA,"violencia, hechos de transito y accidentes",accidentes,2013-01-01,0,0,5,1,2,1,12,4,6,7,1,1,26,14,40
71106,CUATRO CAÑADAS,"violencia, hechos de transito y accidentes",accidentes,2013-01-01,0,0,1,2,3,1,2,0,9,1,0,0,15,4,19
20804,DESAGUADERO,"violencia, hechos de transito y accidentes",accidentes,2013-01-01,0,0,0,0,0,0,0,0,0,1,0,2,0,3,3
20105,EL ALTO,"violencia, hechos de transito y accidentes",accidentes,2013-01-01,8,9,31,33,32,24,74,34,167,110,23,25,335,235,570
71503,EL PUENTE(STC),"violencia, hechos de transito y accidentes",accidentes,2013-01-01,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
70105,EL TORNO,"violencia, hechos de transito y accidentes",accidentes,2013-01-01,0,4,20,10,5,7,24,11,26,26,11,10,86,68,154
20405,ESCOMA,"violencia, hechos de transito y accidentes",accidentes,2013-01-01,0,0,2,1,1,1,3,0,6,0,3,2,15,4,19
41101,EUCALIPTUS,"violencia, hechos de transito y accidentes",accidentes,2013-01-01,0,0,0,0,0,0,0,1,1,1,0,0,1,2,3
71004,FERNANDEZ ALONSO,"violencia, hechos de transito y accidentes",accidentes,2013-01-01,0,0,0,0,0,0,0,0,1,1,0,0,1,1,2
20602,GUANAY,"violencia, hechos de transito y accidentes",accidentes,2013-01-01,0,0,0,0,0,0,0,0,2,0,0,0,2,0,2
40701,HUANUNI,"violencia, hechos de transito y accidentes",accidentes,2013-01-01,0,0,2,0,1,1,4,1,4,4,0,0,11,6,17
21501,IXIAMAS,"violencia, hechos de transito y accidentes",accidentes,2013-01-01,0,0,0,0,0,0,6,1,1,1,0,0,7,2,9
20806,JESUS DE MACHACA,"violencia, hechos de transito y accidentes",accidentes,2013-01-01,0,0,1,0,0,0,3,0,4,0,0,3,8,3,11
70104,LA GUARDIA,"violencia, hechos de transito y accidentes",accidentes,2013-01-01,3,1,11,8,2,3,14,10,18,16,6,2,54,40,94
20101,LA PAZ,"violencia, hechos de transito y accidentes",accidentes,2013-01-01,3,3,11,10,3,1,19,8,56,22,8,9,100,53,153
21202,LAJA,"violencia, hechos de transito y accidentes",accidentes,2013-01-01,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
70903,MAIRANA,"violencia, hechos de transito y accidentes",accidentes,2013-01-01,0,0,0,0,1,0,3,0,7,2,0,1,11,3,14
20607,MAPIRI,"violencia, hechos de transito y accidentes",accidentes,2013-01-01,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
20103,MECAPACA,"violencia, hechos de transito y accidentes",accidentes,2013-01-01,0,0,0,0,0,0,3,0,0,1,1,2,4,3,7
71003,MINEROS,"violencia, hechos de transito y accidentes",accidentes,2013-01-01,0,0,4,0,3,0,6,1,7,8,2,0,22,9,31
31301,MIZQUE,"violencia, hechos de transito y accidentes",accidentes,2013-01-01,0,0,0,0,0,0,1,0,0,0,0,1,1,1,2
10501,MONTEAGUDO,"violencia, hechos de transito y accidentes",accidentes,2013-01-01,0,0,0,0,0,0,0,1,1,0,0,0,1,1,2
71001,MONTERO,"violencia, hechos de transito y accidentes",accidentes,2013-01-01,4,1,25,17,22,2,22,16,52,24,4,3,129,63,192
40101,ORURO,"violencia, hechos de transito y accidentes",accidentes,2013-01-01,0,0,9,8,19,17,30,17,52,28,12,11,122,81,203
20102,PALCA,"violencia, hechos de transito y accidentes",accidentes,2013-01-01,0,0,0,0,0,0,1,0,0,0,1,0,2,0,2
21104,PALOS BLANCOS,"violencia, hechos de transito y accidentes",accidentes,2013-01-01,0,0,1,0,0,1,1,1,3,1,1,0,6,3,9
21305,PATACAMAYA,"violencia, hechos de transito y accidentes",accidentes,2013-01-01,3,0,5,1,8,5,8,11,22,10,13,3,59,30,89
40602,PAZÑA,"violencia, hechos de transito y accidentes",accidentes,2013-01-01,0,0,0,0,0,0,3,0,2,0,0,0,5,0,5
31202,POJO (CBBA),"violencia, hechos de transito y accidentes",accidentes,2013-01-01,0,0,0,0,1,1,1,0,2,2,2,0,6,3,9
50101,POTOSI,"violencia, hechos de transito y accidentes",accidentes,2013-01-01,1,1,8,9,2,0,21,5,50,14,5,3,87,32,119
21201,PUCARANI,"violencia, hechos de transito y accidentes",accidentes,2013-01-01,0,0,0,0,0,1,0,1,2,0,2,1,4,3,7
21204,PUERTO PEREZ,"violencia, hechos de transito y accidentes",accidentes,2013-01-01,0,0,0,2,0,0,0,1,4,1,3,1,7,5,12
71401,PUERTO SUAREZ,"violencia, hechos de transito y accidentes",accidentes,2013-01-01,0,0,3,0,2,2,1,1,10,6,1,0,17,9,26
31205,PUERTO VILLARROEL,"violencia, hechos de transito y accidentes",accidentes,2013-01-01,1,1,6,4,3,1,17,25,36,10,1,1,64,42,106
31401,PUNATA,"violencia, hechos de transito y accidentes",accidentes,2013-01-01,4,3,8,7,10,4,16,9,44,36,7,12,89,71,160
30901,QUILLACOLLO,"violencia, hechos de transito y accidentes",accidentes,2013-01-01,0,0,0,0,0,1,1,3,5,2,0,1,6,7,13
21002,QUIME,"violencia, hechos de transito y accidentes",accidentes,2013-01-01,0,0,1,1,2,2,3,4,6,2,3,1,15,10,25
80301,REYES,"violencia, hechos de transito y accidentes",accidentes,2013-01-01,0,0,0,0,3,1,3,1,4,7,0,0,10,9,19
80201,RIBERALTA,"violencia, hechos de transito y accidentes",accidentes,2013-01-01,1,1,3,2,1,2,0,1,1,1,0,0,6,7,13
80304,RURRENABAQUE,"violencia, hechos de transito y accidentes",accidentes,2013-01-01,1,0,0,1,0,0,2,3,7,0,0,0,10,4,14
40901,SABAYA,"violencia, hechos de transito y accidentes",accidentes,2013-01-01,0,0,0,0,0,0,0,0,4,1,0,1,4,2,6
31001,SACABA,"violencia, hechos de transito y accidentes",accidentes,2013-01-01,1,0,34,15,37,7,78,30,110,51,11,9,271,112,383
70901,SAMAIPATA,"violencia, hechos de transito y accidentes",accidentes,2013-01-01,0,0,0,0,0,0,2,1,5,3,0,3,7,7,14
20805,SAN ANDRES DE MACHACA,"violencia, hechos de transito y accidentes",accidentes,2013-01-01,0,0,0,0,0,3,0,0,1,1,6,6,7,10,17
31403,SAN BENITO,"violencia, hechos de transito y accidentes",accidentes,2013-01-01,0,0,0,0,0,0,0,0,2,0,1,0,3,0,3
21502,SAN BUENA VENTURA,"violencia, hechos de transito y accidentes",accidentes,2013-01-01,0,0,5,2,2,0,4,1,12,4,0,1,23,8,31
70402,SAN CARLOS,"violencia, hechos de transito y accidentes",accidentes,2013-01-01,0,0,0,0,0,0,0,0,2,1,0,0,2,1,3
80501,SAN IGNACIO,"violencia, hechos de transito y accidentes",accidentes,2013-01-01,0,0,2,2,1,0,2,0,5,1,0,0,10,3,13
70301,SAN IGNACIO DE VELASCO,"violencia, hechos de transito y accidentes",accidentes,2013-01-01,1,1,9,2,3,2,7,4,21,9,6,5,47,23,70
71104,SAN JULIAN,"violencia, hechos de transito y accidentes",accidentes,2013-01-01,1,2,7,3,5,1,10,5,16,6,2,0,41,17,58
71201,SAN MATIAS,"violencia, hechos de transito y accidentes",accidentes,2013-01-01,0,0,0,0,0,0,1,0,1,1,1,0,3,1,4
70302,SAN MIGUEL DE VELASCO,"violencia, hechos de transito y accidentes",accidentes,2013-01-01,0,0,2,0,0,1,1,0,2,0,0,3,5,4,9
71005,SAN PEDRO,"violencia, hechos de transito y accidentes",accidentes,2013-01-01,0,0,3,0,0,2,4,3,8,3,0,0,15,8,23
70303,SAN RAFAEL,"violencia, hechos de transito y accidentes",accidentes,2013-01-01,0,0,3,0,2,0,2,0,8,0,1,1,16,1,17
70101,SANTA CRUZ DE LA SIERRA,"violencia, hechos de transito y accidentes",accidentes,2013-01-01,11,11,70,74,60,35,145,96,400,275,35,77,721,568,1289
70602,SANTA ROSA DEL SARA,"violencia, hechos de transito y accidentes",accidentes,2013-01-01,0,0,0,1,0,0,0,0,1,0,1,0,2,1,3
20308,SANTIAGO DE CALLAPA,"violencia, hechos de transito y accidentes",accidentes,2013-01-01,0,0,0,0,0,0,0,0,0,0,7,5,7,5,12
21301,SICA SICA (VILLA AROMA),"violencia, hechos de transito y accidentes",accidentes,2013-01-01,0,0,0,0,0,0,1,0,4,1,3,0,8,1,9
40104,SORACACHI,"violencia, hechos de transito y accidentes",accidentes,2013-01-01,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
10101,SUCRE,"violencia, hechos de transito y accidentes",accidentes,2013-01-01,6,4,91,54,51,24,54,24,107,46,16,20,325,172,497
10601,TARABUCO,"violencia, hechos de transito y accidentes",accidentes,2013-01-01,1,0,1,0,0,0,2,2,5,4,3,8,12,14,26
20807,TARACO,"violencia, hechos de transito y accidentes",accidentes,2013-01-01,0,0,1,0,1,0,1,0,0,1,6,1,9,2,11
60101,TARIJA,"violencia, hechos de transito y accidentes",accidentes,2013-01-01,1,1,7,3,3,1,6,3,28,4,6,2,51,14,65
20606,TIPUANI,"violencia, hechos de transito y accidentes",accidentes,2013-01-01,0,0,1,0,2,0,6,3,15,3,1,1,25,7,32
30903,TIQUIPAYA,"violencia, hechos de transito y accidentes",accidentes,2013-01-01,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
30803,TOLATA,"violencia, hechos de transito y accidentes",accidentes,2013-01-01,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
41001,TOLEDO,"violencia, hechos de transito y accidentes",accidentes,2013-01-01,0,0,0,0,0,0,2,0,1,3,5,1,8,4,12
10402,TOMINA,"violencia, hechos de transito y accidentes",accidentes,2013-01-01,0,0,0,0,0,0,0,1,2,0,0,0,2,1,3
31201,TOTORA(CBBA),"violencia, hechos de transito y accidentes",accidentes,2013-01-01,1,0,0,0,1,0,1,0,8,1,3,0,14,1,15
70802,TRIGAL,"violencia, hechos de transito y accidentes",accidentes,2013-01-01,0,0,0,0,0,0,1,0,1,0,0,0,2,0,2
30502,VACAS,"violencia, hechos de transito y accidentes",accidentes,2013-01-01,1,0,2,1,0,0,14,8,5,11,7,6,29,26,55
70801,VALLEGRANDE,"violencia, hechos de transito y accidentes",accidentes,2013-01-01,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
20801,VIACHA,"violencia, hechos de transito y accidentes",accidentes,2013-01-01,0,0,0,0,0,0,1,0,1,2,2,1,4,3,7
31302,VILA VILA,"violencia, hechos de transito y accidentes",accidentes,2013-01-01,0,0,0,0,0,0,1,0,2,0,0,1,3,1,4
31003,VILLA TUNARI,"violencia, hechos de transito y accidentes",accidentes,2013-01-01,1,0,1,3,1,3,4,3,22,4,1,3,30,16,46
51501,VILLAZON,"violencia, hechos de transito y accidentes",accidentes,2013-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
50602,VITICHI,"violencia, hechos de transito y accidentes",accidentes,2013-01-01,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
60301,YACUIBA,"violencia, hechos de transito y accidentes",accidentes,2013-01-01,0,0,1,3,0,0,2,1,5,4,0,0,8,8,16
70403,YAPACANI,"violencia, hechos de transito y accidentes",accidentes,2013-01-01,1,0,1,0,1,0,1,1,4,1,0,1,8,3,11
20201,ACHACACHI,"violencia, hechos de transito y accidentes",accidentes,2013-02-01,0,0,0,1,0,2,0,0,2,2,2,0,4,5,9
20104,ACHOCALLA,"violencia, hechos de transito y accidentes",accidentes,2013-02-01,0,0,0,0,1,0,0,0,1,0,0,0,2,0,2
31303,ALALAY,"violencia, hechos de transito y accidentes",accidentes,2013-02-01,0,0,0,0,0,0,0,0,1,0,0,1,1,1,2
10404,ALCALA,"violencia, hechos de transito y accidentes",accidentes,2013-02-01,0,0,0,1,0,0,3,0,0,2,3,2,6,5,11
20202,ANCORAIMES,"violencia, hechos de transito y accidentes",accidentes,2013-02-01,1,0,7,7,3,3,5,1,7,4,6,2,29,17,46
30501,ARANI,"violencia, hechos de transito y accidentes",accidentes,2013-02-01,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
71501,ASCENCION DE GUARAYOS,"violencia, hechos de transito y accidentes",accidentes,2013-02-01,1,1,2,8,2,1,5,0,5,1,0,0,15,11,26
50802,ATOCHA,"violencia, hechos de transito y accidentes",accidentes,2013-02-01,0,0,0,0,0,0,0,0,9,1,0,0,9,1,10
21303,AYO AYO,"violencia, hechos de transito y accidentes",accidentes,2013-02-01,0,0,3,0,1,1,0,0,6,4,4,1,14,6,20
60202,BERMEJO,"violencia, hechos de transito y accidentes",accidentes,2013-02-01,0,0,0,0,0,1,2,1,6,2,0,0,8,4,12
90103,BOLPEBRA,"violencia, hechos de transito y accidentes",accidentes,2013-02-01,0,0,1,0,0,1,0,0,0,0,0,0,1,1,2
70707,BOYUIBE,"violencia, hechos de transito y accidentes",accidentes,2013-02-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
70401,BUENA VISTA,"violencia, hechos de transito y accidentes",accidentes,2013-02-01,0,0,0,1,0,2,4,1,3,1,1,0,8,5,13
70703,CABEZAS,"violencia, hechos de transito y accidentes",accidentes,2013-02-01,0,0,0,0,0,0,0,0,1,1,0,0,1,1,2
20303,CALACOTO,"violencia, hechos de transito y accidentes",accidentes,2013-02-01,0,0,0,0,0,0,0,0,0,0,2,1,2,1,3
21304,CALAMARCA,"violencia, hechos de transito y accidentes",accidentes,2013-02-01,2,1,4,9,3,3,3,5,11,8,7,2,30,28,58
71403,CARMEN RIVERO TORREZ,"violencia, hechos de transito y accidentes",accidentes,2013-02-01,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
40201,CHALLAPATA,"violencia, hechos de transito y accidentes",accidentes,2013-02-01,0,0,1,2,0,0,0,1,0,0,0,1,1,4,5
31204,CHIMORE,"violencia, hechos de transito y accidentes",accidentes,2013-02-01,0,0,1,0,0,0,3,0,1,5,0,1,5,6,11
90101,COBIJA,"violencia, hechos de transito y accidentes",accidentes,2013-02-01,1,2,5,7,8,6,10,3,38,17,2,0,64,35,99
30101,COCHABAMBA,"violencia, hechos de transito y accidentes",accidentes,2013-02-01,3,2,4,9,9,6,30,16,74,34,10,13,130,80,210
30905,COLCAPIRHUA,"violencia, hechos de transito y accidentes",accidentes,2013-02-01,0,0,1,0,0,0,1,0,0,0,0,1,2,1,3
31002,COLOMI,"violencia, hechos de transito y accidentes",accidentes,2013-02-01,0,0,0,0,0,0,1,1,3,0,0,0,4,1,5
71301,COMARAPA,"violencia, hechos de transito y accidentes",accidentes,2013-02-01,0,0,0,2,1,1,3,2,7,2,3,1,14,8,22
71101,CONCEPCION,"violencia, hechos de transito y accidentes",accidentes,2013-02-01,0,0,1,0,4,0,2,4,11,3,2,4,20,11,31
